sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
11,purchase,,,I4656810,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,329.01,329.01,,1.00
12,purchase,11/11/2023,,I4657746,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
13,purchase,,,I4657746,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,654.74,654.74,,4.00
14,purchase,13/11/2023,,I4658728,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
15,purchase,,,I4658728,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,567.55,567.55,,1.00
16,purchase,14/11/2023,,I4659541,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
17,purchase,,,I4659541,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,337.57,337.57,,1.00
18,purchase,15/11/2023,,I4660796,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
19,purchase,,,I4660796,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,515.92,515.92,,1.00
20,purchase,10/11/2023,,I4656909,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,200.53,200.53,,1.00
21,purchase,09/11/2023,,I4655997,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,21.99
22,purchase,,,I4655997,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,1504.45,1504.45,,1.00
23,purchase,09/11/2023,,I4656074,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.25
24,purchase,,,I4656074,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.59
25,purchase,,,I4656074,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,1213.96,1213.96,,720.20
26,purchase,11/11/2023,,I4657879,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,16.29
27,purchase,,,I4657879,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
28,purchase,11/11/2023,,I4657899,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
29,purchase,,,I4657899,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
30,purchase,,,I4657899,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,1907.09,1907.09,,1.30
31,purchase,14/11/2023,,I4659543,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.25
32,purchase,,,I4659543,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
33,purchase,,,I4659543,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,2205.39,2205.39,,1.39
34,purchase,14/11/2023,,I4659965,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,16.99
35,purchase,,,I4659965,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,1110.54,1110.54,,1.39
36,purchase,11/11/2023,,212175-11112023,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,7.14,7.14,,1.00
37,purchase,11/11/2023,,212175-11112023S,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,933.22,933.22,,1.00
38,purchase,06/11/2023,,S2311147890,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,437.80,437.80,,1.00
